,months_year,crime_severity,crime_count
0,2020-01-01,NV,7519
1,2020-01-01,V,1133
4,2020-02-01,NV,7117
5,2020-02-01,V,1059
9,2020-03-01,V,1257
8,2020-03-01,NV,7203
13,2020-04-01,V,1119
12,2020-04-01,NV,6379
17,2020-05-01,V,1410
16,2020-05-01,NV,7069
21,2020-06-01,V,1367
20,2020-06-01,NV,6289
25,2020-07-01,V,1354
24,2020-07-01,NV,6674
29,2020-08-01,V,1299
28,2020-08-01,NV,7031
33,2020-09-01,V,1210
32,2020-09-01,NV,6913
36,2020-10-01,NV,6942
37,2020-10-01,V,1148
40,2020-11-01,NV,7181
41,2020-11-01,V,1217
45,2020-12-01,V,1147
44,2020-12-01,NV,7009
2,2021-01-01,NV,6576
3,2021-01-01,V,1172
7,2021-02-01,V,1090
6,2021-02-01,NV,5547
11,2021-03-01,V,1216
10,2021-03-01,NV,7197
15,2021-04-01,V,1229
14,2021-04-01,NV,6573
19,2021-05-01,V,1371
18,2021-05-01,NV,6145
23,2021-06-01,V,1292
22,2021-06-01,NV,5946
27,2021-07-01,V,1314
26,2021-07-01,NV,6212
31,2021-08-01,V,1338
30,2021-08-01,NV,5910
35,2021-09-01,V,1288
34,2021-09-01,NV,5778
38,2021-10-01,NV,6345
39,2021-10-01,V,1281
42,2021-11-01,NV,5775
43,2021-11-01,V,1137
46,2021-12-01,NV,5749
47,2021-12-01,V,1178
